--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
036.797  000.068  000.068: require('mason-core.path')
037.013  000.062  000.062: require('mason-core.functional.data')
037.115  000.101  000.101: require('mason-core.functional.function')
037.190  000.072  000.072: require('mason-core.functional.list')
037.273  000.068  000.068: require('mason-core.functional.relation')
037.337  000.062  000.062: require('mason-core.functional.logic')
037.403  000.065  000.065: require('mason-core.functional.number')
037.469  000.064  000.064: require('mason-core.functional.string')
037.535  000.064  000.064: require('mason-core.functional.table')
037.600  000.063  000.063: require('mason-core.functional.type')
037.601  000.729  000.109: require('mason-core.functional')
037.621  000.822  000.094: require('mason-core.platform')
037.700  000.079  000.079: require('mason.settings')
037.702  001.048  000.080: require('mason-core.installer.InstallLocation')
037.961  000.093  000.093: require('mason-core.log')
037.963  000.182  000.088: require('mason-core.EventEmitter')
038.044  000.080  000.080: require('mason-registry.sources')
038.047  000.345  000.083: require('mason-registry')
038.049  001.615  000.222: require('mason')
038.182  000.103  000.103: require('mason.api.command')
038.233  000.002  000.002: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.238  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.641  000.053  000.053: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/mason-tool-installer.nvim/plugin/mason-tool-installer.lua
038.644  000.101  000.047: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.647  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.681  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.904  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
038.908  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
039.514  000.066  000.066: require('fidget.spinner.patterns')
039.516  000.127  000.061: require('fidget.spinner')
039.577  000.060  000.060: require('fidget.options')
039.580  000.254  000.068: require('fidget.progress.display')
039.713  000.063  000.063: require('fidget.logger')
039.715  000.134  000.071: require('fidget.progress.lsp')
039.995  000.072  000.072: require('fidget.poll')
039.998  000.138  000.066: require('fidget.notification.model')
040.078  000.079  000.079: require('fidget.notification.window')
040.143  000.064  000.064: require('fidget.notification.view')
040.154  000.380  000.098: require('fidget.notification')
040.156  000.440  000.060: require('fidget.progress.handle')
040.159  000.914  000.086: require('fidget.progress')
040.247  000.086  000.086: require('fidget.commands')
040.363  000.058  000.058: require('fidget.integration.nvim-tree')
040.428  000.064  000.064: require('fidget.integration.xcodebuild-nvim')
040.430  000.182  000.060: require('fidget.integration')
040.432  001.480  000.298: require('fidget')
041.300  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
041.310  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
041.937  000.071  000.071: require('luasnip.util.types')
041.997  000.059  000.059: require('luasnip.util.lazy_table')
042.071  000.073  000.073: require('luasnip.extras.filetype_functions')
042.079  000.295  000.091: require('luasnip.default_config')
042.080  000.370  000.075: require('luasnip.session')
042.151  000.070  000.070: require('luasnip.util.vimversion')
042.154  000.536  000.096: require('luasnip.util.util')
042.308  000.087  000.087: require('luasnip.util.path')
042.448  000.068  000.068: require('luasnip.session.snippet_collection.source')
042.509  000.060  000.060: require('luasnip.util.table')
042.576  000.067  000.067: require('luasnip.util.auto_table')
042.582  000.273  000.079: require('luasnip.session.snippet_collection')
042.678  000.096  000.096: require('luasnip.util.log')
042.682  000.527  000.071: require('luasnip.loaders.util')
042.786  000.103  000.103: require('luasnip.loaders.fs_watchers')
042.847  000.060  000.060: require('luasnip.loaders.data')
042.907  000.059  000.059: require('luasnip.session.enqueueable_operations')
043.375  000.089  000.089: require('luasnip.util.ext_opts')
043.434  000.058  000.058: require('luasnip.nodes.key_indexer')
043.503  000.068  000.068: require('luasnip.util.feedkeys')
043.506  000.323  000.108: require('luasnip.nodes.util')
043.566  000.059  000.059: require('luasnip.util.events')
043.575  000.502  000.120: require('luasnip.nodes.node')
043.724  000.061  000.061: require('luasnip.util.extend_decorator')
043.730  000.154  000.094: require('luasnip.nodes.insertNode')
043.817  000.087  000.087: require('luasnip.nodes.textNode')
043.895  000.076  000.076: require('luasnip.util.mark')
044.146  000.083  000.083: require('luasnip.util.select')
044.228  000.081  000.081: require('luasnip.util.time')
044.755  000.792  000.627: require('luasnip.util._builtin_vars')
044.781  000.885  000.093: require('luasnip.util.environ')
044.860  000.079  000.079: require('luasnip.util.pattern_tokenizer')
044.924  000.063  000.063: require('luasnip.util.dict')
045.683  000.010  000.010: require('jsregexp.core')
045.687  000.192  000.182: require('luasnip-jsregexp')
045.688  000.697  000.506: require('luasnip.util.jsregexp')
045.690  000.765  000.067: require('luasnip.nodes.util.trig_engines')
045.713  002.738  000.127: require('luasnip.nodes.snippet')
046.221  000.294  000.294: require('luasnip.util.parser.neovim_ast')
046.407  000.185  000.185: require('luasnip.util.str')
046.589  000.177  000.177: require('luasnip.util.directed_graph')
046.599  000.776  000.120: require('luasnip.util.parser.ast_utils')
046.774  000.174  000.174: require('luasnip.nodes.functionNode')
047.093  000.319  000.319: require('luasnip.nodes.choiceNode')
047.284  000.190  000.190: require('luasnip.nodes.dynamicNode')
047.361  000.077  000.077: require('luasnip.util.functions')
047.366  001.652  000.117: require('luasnip.util.parser.ast_parser')
047.467  000.100  000.100: require('luasnip.util.parser.neovim_parser')
047.469  004.561  000.071: require('luasnip.util.parser')
047.536  000.066  000.066: require('luasnip.nodes.snippetProxy')
047.642  000.104  000.104: require('luasnip.util.jsonc')
047.764  000.057  000.057: require('luasnip.nodes.duplicate')
047.765  000.122  000.065: require('luasnip.loaders.snippet_cache')
047.769  006.457  000.318: require('luasnip.loaders.from_vscode')
048.044  000.077  000.077: require('vim.version')
051.709  000.075  000.075: require('luasnip.nodes.multiSnippet')
053.041  000.558  000.558: require('vim.filetype')
053.238  000.080  000.080: require('luasnip.config')
053.404  000.067  000.067: require('luasnip.loaders')
053.412  000.172  000.104: require('luasnip')
053.432  000.988  000.179: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
053.434  001.026  000.037: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
053.518  000.018  000.018: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
053.519  000.054  000.036: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
053.522  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
053.532  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
054.164  000.266  000.266: require('lazydev')
054.231  000.066  000.066: require('lazydev.config')
054.298  000.060  000.060: require('lazydev.util')
054.477  000.075  000.075: require('blink.cmp')
054.641  000.092  000.092: require('blink.cmp.lib.async')
054.763  000.057  000.057: require('blink.cmp.config.utils')
054.822  000.058  000.058: require('blink.cmp.config.keymap')
054.942  000.056  000.056: require('blink.cmp.config.completion.keyword')
055.002  000.059  000.059: require('blink.cmp.config.completion.trigger')
055.060  000.057  000.057: require('blink.cmp.config.completion.list')
055.118  000.058  000.058: require('blink.cmp.config.completion.accept')
055.190  000.071  000.071: require('blink.cmp.config.completion.menu')
055.253  000.062  000.062: require('blink.cmp.config.completion.documentation')
055.310  000.057  000.057: require('blink.cmp.config.completion.ghost_text')
055.311  000.488  000.068: require('blink.cmp.config.completion')
055.371  000.060  000.060: require('blink.cmp.config.fuzzy')
055.492  000.120  000.120: require('blink.cmp.config.sources')
055.645  000.144  000.144: require('blink.cmp.config.signature')
055.733  000.087  000.087: require('blink.cmp.config.snippets')
055.826  000.087  000.087: require('blink.cmp.config.appearance')
055.913  000.086  000.086: require('blink.cmp.config.modes.cmdline')
055.989  000.075  000.075: require('blink.cmp.config.modes.term')
055.990  001.349  000.086: require('blink.cmp.config')
056.077  000.086  000.086: require('blink.cmp.lib.utils')
056.150  000.071  000.071: require('blink.cmp.lib.event_emitter')
056.153  001.676  000.078: require('blink.cmp.sources.lib')
056.166  001.792  000.041: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/blink.cmp/plugin/blink-cmp.lua
056.170  001.828  000.036: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
056.179  000.004  000.004: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
056.189  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
056.546  000.150  000.150: require('lspconfig.util')
057.214  000.869  000.718: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
057.218  000.930  000.062: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
057.261  000.002  000.002: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
057.278  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
057.472  000.071  000.071: require('mason.version')
057.479  000.181  000.110: require('mason-tool-installer')
057.658  000.075  000.075: require('mason-lspconfig.settings')
057.660  000.152  000.076: require('mason-lspconfig')
058.108  000.082  000.082: require('mason-core.async')
058.251  000.073  000.073: require('mason-core.async.control')
058.317  000.065  000.065: require('mason-core.result')
058.495  000.074  000.074: require('mason-core.async.uv')
058.500  000.182  000.108: require('mason-core.fs')
058.510  000.401  000.081: require('mason-registry.installer')
058.699  000.071  000.071: require('mason-core.optional')
058.989  000.112  000.112: require('mason-core.process')
059.094  000.103  000.103: require('mason-core.spawn')
059.095  000.293  000.077: require('mason-core.installer.managers.powershell')
059.097  000.397  000.104: require('mason-core.fetch')
059.162  000.064  000.064: require('mason-core.providers')
059.450  000.091  000.091: require('mason-core.purl')
059.454  000.165  000.074: require('mason-core.package.AbstractPackage')
060.304  000.171  000.171: require('mason-core.installer.compiler.expr')
060.332  000.693  000.522: require('mason-core.installer.compiler.link')
060.811  000.098  000.098: require('mason-core.installer.context.InstallContextCwd')
060.890  000.078  000.078: require('mason-core.installer.context.InstallContextFs')
060.961  000.070  000.070: require('mason-core.installer.context.InstallContextSpawn')
061.041  000.079  000.079: require('mason-core.receipt')
061.052  000.427  000.103: require('mason-core.installer.context')
061.053  000.523  000.096: require('mason-core.installer')
061.065  000.633  000.110: require('mason-core.installer.managers.std')
061.067  000.734  000.102: require('mason-core.installer.compiler.schemas')
061.142  000.074  000.074: require('mason-core.installer.compiler.util')
061.151  001.620  000.118: require('mason-core.installer.compiler')
061.236  000.083  000.083: require('mason-core.installer.linker')
061.239  001.784  000.080: require('mason-core.installer.InstallRunner')
061.314  000.074  000.074: require('mason-core.installer.UninstallRunner')
061.319  002.097  000.074: require('mason-core.package')
061.320  002.157  000.060: require('mason-registry.sources.util')
061.327  002.779  000.089: require('mason-registry.sources.github')
